p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,2002
409204,19790550,MANHATTAN,1,105,3413590,3057544,0
409191,06390550,MINOOKA,7,50,3343191,3065418,82327000
409192,06390550,MINOOKA,6,50,3343004,3065399,82327000
409193,06390550,MINOOKA,5,41,3344055,3062396,0
405148,19790600,MOKENA,6,425,3438223,3088041,115375000
409333,19790600,MOKENA,4,420,3447127,3101850,177077000
409329,19790600,MOKENA,3,417,3439145,3096565,151592000
409328,19790600,MOKENA,5,355,3437391,3101616,194936000
409330,19790600,MOKENA,2,225,3440713,3098044,0
409424,04394670,NAPERVILLE,29,260,3368997,3162229,0
409323,19790700,NEW LENOX,2,334,3417518,3085917,0
410395,19790700,NEW LENOX,10,332,3424674,3087670,3803000
409322,19790700,NEW LENOX,3,325,3417411,3085917,1124000
409327,19790700,NEW LENOX,6,325,3414093,3082676,0
409319,19790700,NEW LENOX,7,323,3418030,3093571,7735000
409326,19790700,NEW LENOX,5,303,3413681,3080109,5084000
405296,19790700,NEW LENOX,11,301,3431893,3087161,16940000
409317,19790700,NEW LENOX,4,300,3417876,3091236,0
410026,19790700,NEW LENOX,8,280,3417586,3092574,0
410212,19790700,NEW LENOX,9,180,3408715,3093054,4593000
409174,19790750,PEOTONE,4,300,3467449,3027678,39474000
409175,19790750,PEOTONE,3,300,3463545,3025345,61100000
409177,19790750,PEOTONE,1,135,3467533,3026057,30661000
409235,19795385,PHEASANT LAKE ESTATES MHP,1,400,3503470,3047834,14965000
410178,19795385,PHEASANT LAKE ESTATES MHP,2,400,3504726,3048091,14965000
409298,19790850,ROCKDALE,5,285,3374993,3087607,36800000
409300,19790850,ROCKDALE,3,258,3377240,3088860,23610000
409870,19790900,ROMEOVILLE,7,300,3384339,3146599,27625000
409446,19790900,ROMEOVILLE,5,250,3388425,3148041,47211000
410193,19790900,ROMEOVILLE,9,250,3370978,3133711,87008800
400182,19790900,ROMEOVILLE,12,245,3370677,3125017,166628000
410048,19790900,ROMEOVILLE,8,200,3375231,3145987,283512400
409448,19790900,ROMEOVILLE,1,160,3384177,3141266,83327000
409450,19790900,ROMEOVILLE,3,160,3381374,3138377,310150000
409248,19795080,SHOREWOOD,1,302,3353834,3089911,0
410184,19795080,SHOREWOOD,6,220,3353205,3105367,47086000
405298,19795080,SHOREWOOD,7,210,3353022,3105003,72036000
409871,19795080,SHOREWOOD,5,203,3352806,3104395,182457000
409240,19795080,SHOREWOOD,4,202,3353340,3103040,1825000
409241,19795080,SHOREWOOD,3,151,3353426,3100206,0
405085,19797490,SOUTHEAST JOLIET SANITARY DIST,2,275,3385485,3081694,39785000
409307,19797490,SOUTHEAST JOLIET SANITARY DIST,1,248,3387395,3083336,39785000
409223,03194860,STEGER,2,325,3507757,3076610,141253000
409222,03194860,STEGER,1,318,3507865,3076601,2158000
405342,19716132,VULCAN MATERIAL - JOLIET 340,1,200,3386735,3087205,18720
405343,19716132,VULCAN MATERIAL - JOLIET 340,2,165,3384307,3079337,24960
404093,19713933,WEDGEWOOD GOLF COURSE,2,251,3352414,3110057,20000000
404092,19713933,WEDGEWOOD GOLF COURSE,1,250,3353074,3108737,20000000
404094,19713933,WEDGEWOOD GOLF COURSE,3,125,3353074,3108737,691888
404095,19713933,WEDGEWOOD GOLF COURSE,4,200,3352414,3110057,691887
404170,19716670,WILL COUNTY FOREST PRESERVE,1,65,3363167,3119547,4000
