p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
404012,19713226,CRETE-MONEE SCHOOL DIST 201-U,1,202,3507681,3059049,5584500,2803500,2745000,2550000,2475000,2475000,2475000,2225000,2790000,2785500,8048160,8048160,8100000,8100000,5400000,7344000,9382500,,968213,968213,,1401200,1408300,1365490,1318340,967240,1007000,991150,1059540,1126306,1241550,1292784,1237326,,,,1197795,1223700,
404013,19713227,BALMORAL RACE TRACK,1,1757,3510424,3054586,36000000,22750500,25650000,33850000,20500000,20500000,,18250000,11500000,10950000,17820000,,17820000,18250000,18250000,,,,,,,,,,,,,,,,,,,,,,0,0,
404014,19713227,BALMORAL RACE TRACK,2,379,3511583,3057227,0,0,0,0,0,0,0,0,50000,,10000,,10000,25000,25000,,,,,,,,,,,,,,,,,,,,,,,,
404016,19713228,BALMORAL WOODS COUNTRY CLUB,3,126,3513064,3053266,0,0,0,0,0,0,0,,,,,,,,,,2056000,,,,,,,,,,,,,,,,,,,,,,
404019,19713228,BALMORAL WOODS COUNTRY CLUB,6,300,3515714,3053473,,,,,,,,,,,,,,,,,1800000,,,,,,,,,,,,,54000,54000,54000,54000,,,,,,
404020,19713233,LINCOLNSHIRE COUNTRY CLUB,1,200,3516444,3072543,0,0,12000000,12000000,12000000,12000000,12000000,12000000,,,,,,,185000,478920,,,500000,500000,350000,350000,350000,350000,,,,,,,,,,,,,,,
404021,19713233,LINCOLNSHIRE COUNTRY CLUB,2,350,3513107,3072372,27450000,0,12000000,12000000,12000000,12000000,12000000,12000000,,,,,,,15150500,17250000,,,17000000,15000000,17730202,15735137,,,24000000,20000000,11352485,11352485,11352485,720000,1440000,11520000,6300000,,,,,,
404022,19713233,LINCOLNSHIRE COUNTRY CLUB,3,452,3519084,3074523,27450000,0,450000,450000,450000,450000,450000,450000,,,,,,,11780600,10350000,,,4000000,4000000,12225731,13000000,,,22000000,18000000,12148000,12148000,12148000,2090000,3689400,10330320,2500000,,,,,,
404024,19713235,CALUMET FABR & ENG COMPANY,1,,3514063,3063800,75000,52500,15000,75000,140000,140000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404025,19713237,CUSTER PARK SCHOOL,1,,3375817,2991527,1825000,1800000,1638000,800000,1445000,765000,1845000,2350000,2133000,1989000,1345890,1620000,1440000,2462400,1200000,2000000,2000000,2200000,,2200000,2060000,2000000,3436500,7984500,8170000,8170000,6663500,6216000,6216000,5948800,5948800,5984800,,,,,,,
