lambx,lamby,Head_ftAMS
3357280.00000000000,3291024.00000000000,766.00000000000
3424319.00000000000,3160780.00000000000,587.00000000000
3409091.00000000000,3303493.00000000000,670.00000000000
3469678.00000000000,3114335.00000000000,659.00000000000
3442881.00000000000,3127146.00000000000,655.00000000000
3468064.00000000000,3086170.00000000000,685.00000000000
3515319.00000000000,3089051.00000000000,646.00000000000
3464740.00000000000,2950547.00000000000,612.00000000000
3507198.00000000000,2993435.00000000000,660.00000000000
3457510.00000000000,2997769.00000000000,658.00000000000
3449110.00000000000,2994148.00000000000,651.00000000000
3453803.00000000000,2994993.00000000000,653.00000000000
3504313.00000000000,2971284.00000000000,643.00000000000
3428383.00000000000,3090903.00000000000,637.00000000000
3428019.00000000000,3090404.00000000000,640.00000000000
3385524.00000000000,3125667.00000000000,593.00000000000
3363431.00000000000,3108869.00000000000,546.00000000000
3363492.00000000000,3109871.00000000000,543.00000000000
3360031.00000000000,3109917.00000000000,557.00000000000
3361539.00000000000,3111062.00000000000,552.00000000000
3510530.00000000000,3052916.00000000000,697.00000000000
3399506.00000000000,3093935.00000000000,594.00000000000
3418030.00000000000,3094088.00000000000,615.00000000000
3535931.00000000000,3066355.00000000000,645.00000000000
3533558.00000000000,3068468.00000000000,650.00000000000
3497541.00000000000,3064218.00000000000,673.00000000000
3495360.00000000000,3064411.00000000000,680.00000000000
3510534.00000000000,3030757.00000000000,692.00000000000
3509520.00000000000,3068589.00000000000,662.00000000000
3516199.00000000000,3076391.00000000000,630.00000000000
3510661.00000000000,3063330.00000000000,708.00000000000
3522698.00000000000,3072523.00000000000,642.00000000000
3506893.00000000000,3066251.00000000000,652.00000000000
3509536.00000000000,3058313.00000000000,706.00000000000
3509661.00000000000,3058389.00000000000,708.00000000000
3519522.00000000000,3073595.00000000000,671.00000000000
3519515.00000000000,3073095.00000000000,679.00000000000
3446885.00000000000,3085280.00000000000,628.00000000000
3452439.00000000000,3079667.00000000000,658.00000000000
3462786.00000000000,3094298.00000000000,675.00000000000
3451619.00000000000,3099268.00000000000,650.00000000000
3538428.00000000000,3030030.00000000000,672.00000000000
3396472.00000000000,3398091.00000000000,700.00000000000
3381829.00000000000,3371521.00000000000,742.59000000000
3383570.00000000000,3385375.00000000000,729.45000000000
3337209.00000000000,3269756.00000000000,729.00000000000
3338713.00000000000,3269097.00000000000,736.30000000000
3335070.00000000000,3270174.00000000000,710.90000000000
3336108.00000000000,3268516.00000000000,726.40000000000
3336806.00000000000,3268508.00000000000,726.00000000000
3402875.00000000000,3237343.00000000000,685.00000000000
3403058.00000000000,3236670.00000000000,681.00000000000
3399921.00000000000,3246840.00000000000,674.00000000000
3394963.00000000000,3248155.00000000000,685.00000000000
3371441.00000000000,3226087.00000000000,701.60000000000
3370603.00000000000,3204704.00000000000,709.29000000000
3369306.00000000000,3203894.00000000000,704.88000000000
3417623.00000000000,3254019.00000000000,671.00000000000
3381578.00000000000,3249402.00000000000,711.00000000000
3373847.00000000000,3245615.00000000000,734.00000000000
3389999.00000000000,3249478.00000000000,679.00000000000
3430576.00000000000,3180570.00000000000,618.73400000000
3424937.00000000000,3173436.00000000000,615.00000000000
3376610.00000000000,3232725.00000000000,710.00000000000
3377053.00000000000,3237321.00000000000,697.00000000000
3371129.00000000000,3238487.00000000000,723.00000000000
3427922.00000000000,3182002.00000000000,615.00000000000
3371049.00000000000,3209451.00000000000,702.00000000000
3425367.00000000000,3242308.00000000000,647.00000000000
3389889.00000000000,3187947.00000000000,660.00000000000
3369120.00000000000,3227463.00000000000,714.00000000000
3405493.00000000000,3231507.00000000000,683.00000000000
3389011.00000000000,3204251.00000000000,699.00000000000
3414440.00000000000,3176899.00000000000,627.00000000000
3409887.00000000000,3174602.00000000000,637.00000000000
3411485.00000000000,3172558.00000000000,632.00000000000
3400393.00000000000,3196901.00000000000,653.41000000000
3394627.00000000000,3191021.00000000000,649.81000000000
3400401.00000000000,3184543.00000000000,647.12000000000
3400272.00000000000,3204173.00000000000,670.35000000000
3405796.00000000000,3182181.00000000000,642.19000000000
3400459.00000000000,3179183.00000000000,643.09000000000
3420501.00000000000,3214594.00000000000,620.00000000000
