STR_ORD_MI,STR_ORD_MA,SUM_LENGTH,rvr_stg,lamx,lamy
4,4,2221.57359764000,635.92999267600,2541500.00004000000,3953499.99991000000
4,4,504.47590058500,631.09997558600,2543999.99996000000,3953499.99991000000
5,5,5802.69974470000,664.03002929700,2574000.00000000000,3953499.99991000000
3,3,3650.67361514000,747.48999023400,2626499.99999000000,3953499.99991000000
4,4,1778.50545432000,777.41998291000,2646500.00002000000,3953499.99991000000
4,4,2837.00668868000,777.47998046900,2648999.99994000000,3953499.99991000000
4,4,141.82668206400,778.38000488300,2651500.00002000000,3953499.99991000000
4,4,1641.19502407000,913.03002929700,2796499.99988000000,3953499.99991000000
4,4,2864.72000265000,908.89001464800,2798999.99997000000,3953499.99991000000
2,4,3124.64347958000,898.90002441400,2801500.00005000000,3953499.99991000000
2,4,5897.18934892000,898.71997070300,2803999.99998000000,3953499.99991000000
2,4,2937.97999842000,894.28997802700,2806499.99990000000,3953499.99991000000
4,4,2319.88167759000,888.85998535200,2808999.99998000000,3953499.99991000000
4,4,125.82400216800,879.00000000000,2813999.99999000000,3953499.99991000000
2,4,4140.14391011000,878.75000000000,2816499.99991000000,3953499.99991000000
4,4,4133.94574460000,878.75000000000,2819000.00000000000,3953499.99991000000
5,5,4307.23165059000,878.75000000000,2824000.00000000000,3953499.99991000000
5,5,1977.03834312000,878.75000000000,2826499.99992000000,3953499.99991000000
5,6,2625.65955888000,880.90002441400,2878999.99991000000,3953499.99991000000
3,3,3745.86724289000,818.73999023400,3019000.00009000000,3953499.99991000000
3,3,327.66647444700,818.73999023400,3021500.00001000000,3953499.99991000000
2,3,3427.24212911000,818.73999023400,3023999.99994000000,3953499.99991000000
4,4,2238.27530241000,790.58001709000,3061500.00007000000,3953499.99991000000
4,4,499.05429659600,790.84002685500,3063999.99999000000,3953499.99991000000
5,5,559.34479608200,758.41998291000,3101500.00012000000,3953499.99991000000
5,5,120.31843410200,758.32000732400,3104000.00004000000,3953499.99991000000
5,5,2907.40400238000,757.72998046900,3106499.99996000000,3953499.99991000000
5,5,2424.82618796000,757.72998046900,3108999.99988000000,3953499.99991000000
4,4,3554.42528091000,756.39001464800,3126499.99999000000,3953499.99991000000
4,4,1479.66276644000,757.67999267600,3128999.99991000000,3953499.99991000000
3,3,345.92449169200,789.83001709000,3259000.00008000000,3953499.99991000000
2,3,3070.71808507000,775.46997070300,3261500.00000000000,3953499.99991000000
2,4,4659.67236034000,738.90997314500,3289000.00012000000,3953499.99991000000
4,4,3255.24684942000,888.38000488300,3384000.00008000000,3953499.99991000000
