STR_ORD_MI,STR_ORD_MA,SUM_LENGTH,rvr_stg,lamx,lamy
,,,822.5599976,2960562.5,3453187.5
,,,826.4799805,2962437.5,3453187.5
,,,828.0900269,2963062.5,3453187.5
,,,828.0900269,2963687.5,3453187.5
,,,828.2600098,2964312.5,3453187.5
,,,828.6599731,2964937.5,3453187.5
,,,829.3599854,2965562.5,3453187.5
,,,748.7600098,3048062.5,3453187.5
,,,748.7600098,3048687.5,3453187.5
,,,748.7600098,3049937.5,3453187.5
,,,817.4000244,2888062.5,3452562.5
,,,806.7000122,2889312.5,3452562.5
,,,768.8099976,2915562.5,3452562.5
,,,768.8099976,2916187.5,3452562.5
,,,775.5,2928687.5,3452562.5
,,,822.5599976,2960562.5,3452562.5
,,,821.6599731,2961187.5,3452562.5
,,,820.3099976,2961812.5,3452562.5
,,,826.1500244,2962437.5,3452562.5
,,,828.0900269,2963062.5,3452562.5
,,,748.7600098,3048687.5,3452562.5
,,,748.7600098,3049312.5,3452562.5
,,,748.7600098,3049937.5,3452562.5
,,,748.7600098,3050562.5,3452562.5
,,,744.0100098,3051187.5,3452562.5
,,,742.5900269,3051812.5,3452562.5
,,,742.3200073,3052437.5,3452562.5
,,,807.9699707,2889312.5,3451937.5
,,,807.9799805,2889937.5,3451937.5
,,,768.8099976,2915562.5,3451937.5
,,,774.0700073,2928687.5,3451937.5
,,,818.0300293,2961187.5,3451937.5
,,,818.25,2961812.5,3451937.5
,,,748.7600098,3049937.5,3451937.5
,,,743.8400269,3050562.5,3451937.5
,,,743.1599731,3051187.5,3451937.5
,,,742.0100098,3052437.5,3451937.5
,,,742.0100098,3053062.5,3451937.5
,,,738.7700195,3058687.5,3451937.5
,,,738.7700195,3059312.5,3451937.5
,,,761.6599731,3083062.5,3451937.5
,,,757.7399902,3083687.5,3451937.5
,,,755.9000244,3084312.5,3451937.5
,,,757.6699829,3087437.5,3451937.5
,,,808.3900146,2889312.5,3451312.5
,,,768.8099976,2915562.5,3451312.5
,,,774.0100098,2928062.5,3451312.5
,,,818.0300293,2960562.5,3451312.5
,,,818.0300293,2961187.5,3451312.5
,,,748.7600098,3049937.5,3451312.5
,,,747.9299927,3050562.5,3451312.5
,,,742.0100098,3052437.5,3451312.5
,,,741.4199829,3053062.5,3451312.5
,,,740.9000244,3053687.5,3451312.5
,,,742.3200073,3054312.5,3451312.5
,,,738.7700195,3059312.5,3451312.5
,,,738.7600098,3059937.5,3451312.5
,,,761.5900269,3083062.5,3451312.5
,,,757.1699829,3083687.5,3451312.5
,,,755.5499878,3084312.5,3451312.5
,,,755.5499878,3084937.5,3451312.5
,,,757.6300049,3087437.5,3451312.5
,,,764.1500244,3089937.5,3451312.5
,,,740.5700073,3124937.5,3451312.5
,,,760.9899902,3131187.5,3451312.5
,,,760.5900269,3131812.5,3451312.5
,,,809.2199707,2889312.5,3450687.5
,,,810.3099976,2889937.5,3450687.5
,,,768.8099976,2914937.5,3450687.5
,,,768.8099976,2915562.5,3450687.5
,,,774.289978,2928062.5,3450687.5
,,,816.039978,2929937.5,3450687.5
